000001,19911223
000002,19911223
000003,19911223
000004,19911223
000005,19940103
000006,19920427
000007,19920413
000008,19920507
000009,19911223
000010,19951027
000011,19920330
000012,19920107
000013,19920506
000014,19920602
000015,19920625
000016,19920327
000017,19920401
000018,19920616
000019,19921012
000020,19920428
000021,19940202
000022,19920505
000023,19930429
000024,19930607
000025,19930621
000026,19930603
000027,19930903
000028,19930608
000029,19930915
000030,19930929
000031,19931008
000032,19931028
000033,19940103
000034,19940509
000035,19940408
000036,19940617
000037,19940701
000038,19940808
000039,19940408
000040,19940808
000042,19940921
000043,19940928
000045,19940815
000046,19940912
000047,19941021
000048,19941101
000049,19950320
000050,19950315
000055,19960415
000056,19960708
000058,19961226
000059,19970130
000060,19970123
000061,19970110
000062,19970130
000063,19971118
000065,19980605
000066,19970626
000068,19970611
000069,19970910
000070,20000511
000078,19981218
000088,19970728
000089,19980420
000090,19990721
000096,20000724
000099,20000731
000100,20040130
000150,20000807
000151,20000906
000153,20000920
000155,20000926
000156,20000906
000157,20001012
000158,20000724
000159,20000926
000166,20150126
000301,20000529
000333,20130918
000338,20070430
000400,19970418
000401,19960614
000402,19960626
000403,19960628
000404,19960619
000405,19960620
000406,19960628
000407,19960703
000408,19960628
000409,19960627
000410,19960718
000411,19960716
000412,19960715
000413,19960925
000415,19960716
000416,19960719
000417,19960812
000418,19970328
000419,19960816
000420,19960802
000421,19960806
000422,19960815
000423,19960729
000425,19960828
000426,19960828
000428,19960808
000429,19980220
000430,19960829
000488,20001120
000498,19970609
000501,19921120
000502,19921124
000503,19921130
000504,19921208
000505,19921222
000506,19930312
000507,19930326
000508,19930430
000509,19930507
000510,19930507
000511,19930518
000513,19931028
000514,19930705
000515,19930705
000516,19930809
000517,19930806
000518,19930908
000519,19931008
000520,19931025
000521,19931018
000522,19931108
000523,19931108
000524,19931118
000525,19931028
000526,19931101
000527,19931112
000528,19931118
000529,19931118
000530,19931208
000531,19940106
000532,19940103
000533,19940103
000534,19940110
000535,19931130
000536,19931126
000537,19931210
000538,19931215
000539,19931126
000540,19940202
000541,19931123
000542,19931201
000543,19931220
000544,19931208
000545,19931215
000546,19931215
000547,19931130
000548,19931220
000549,19931220
000550,19931201
000551,19940106
000552,19940106
000553,19931203
000554,19931215
000555,19940408
000556,19940525
000557,19940617
000558,19940509
000559,19940110
000560,19940202
000561,19940509
